channel,dateCreated,geography,guid,headline,id,language,mediaType,priority,slug,source,version
STK567,25/03/2022 12:22:32,GB|US,"tag:reuters.com,2022:newsml_L2N2VS0QY","ANALYSIS-New EU rules regulating U.S. tech giants likely to set global standard","tag:reuters.com,2022:newsml_L2N2VS0QY:246035401",en,T,3,"EU-TECH/ANTITRUST-IMPACT (UPDATE 1, ANALYSIS, PIX)","Thomson Reuters",246035401
STK567,25/03/2022 12:22:25,RU|HU|UA,"tag:reuters.com,2022:newsml_L5N2VP28E","ANALYSIS-Pre-election spending could haunt Hungary's Orban - or his successor","tag:reuters.com,2022:newsml_L5N2VP28E:1847186067",en,T,3,"UKRAINE-CRISIS/HUNGARY-BUDGET (ANALYSIS, PIX)","Thomson Reuters",1847186067
STK567,25/03/2022 12:21:58,KR|KP|JP|US,"tag:reuters.com,2022:newsml_L2N2VS0RV","ANALYSIS-With largest test yet, N.Korea's ICBM programme hits new heights","tag:reuters.com,2022:newsml_L2N2VS0RV:1266393433",en,T,3,"NORTHKOREA-MISSILES/TESTS (UPDATE 1, ANALYSIS, TV, PIX)","Thomson Reuters",1266393433
STK567,25/03/2022 12:18:16,RU|GB|BY|FR|DE|US|UA,"tag:reuters.com,2022:newsml_L5N2VS2U0","UPDATE 1-Gazprom has 4 days to work out rouble payments for gas exports - Kremlin says","tag:reuters.com,2022:newsml_L5N2VS2U0:163442824",en,T,3,"UKRAINE-CRISIS/RUSSIA-GAS-PAYMENT (UPDATE 1)","Thomson Reuters",163442824
STK567,25/03/2022 12:18:10,TR|FR,"tag:reuters.com,2022:newsml_L3N2VS2P4","Soccer-Turkey's Yilmaz announces international retirement after World Cup playoff loss","tag:reuters.com,2022:newsml_L3N2VS2P4:1670650042",en,T,3,"SOCCER-WORLDCUP-POR-TUR/ (PIX)","Thomson Reuters",1670650042
STK567,25/03/2022 12:17:24,RU|US|UA,"tag:reuters.com,2022:newsml_MT1ALTR4N2UZ07C2","RUSSIA'S PUTIN SAYS  WEST IS TRYING TO CANCEL RUSSIAN CULTURE INCLUDING GREATS SUCH AS TCHAIKOVSKY, RACHMANINOV","tag:reuters.com,2022:newsml_MT1ALTR4N2UZ07C2:2050025919",en,T,1,"RUSSIA'S PUTIN SAYS  WEST IS TRYING TO CANCEL RUSSIAN CULTURE IN","Thomson Reuters",2050025919
STK567,25/03/2022 12:16:36,RU|UA,"tag:reuters.com,2022:newsml_L5N2VS3J2","Ukraine says its forces repulsed a Russian attack on Chernobyl workers' town","tag:reuters.com,2022:newsml_L5N2VS3J2:1858445291",en,T,2,"UKRAINE-CRISIS/SLAVUTYCH-ATTACKS (URGENT)","Thomson Reuters",1858445291
STK567,25/03/2022 12:16:12,GB|US|UA,"tag:reuters.com,2022:newsml_MT1ALTW1N2VH0082","U.S. TREASURY'S YELLEN: IMPOSING SANCTIONS ON RUSSIAN BUSINESSMAN ABRAMOVICH REMAINS A POSSIBILITY","tag:reuters.com,2022:newsml_MT1ALTW1N2VH0082:113282779",en,T,1,"U.S. TREASURY'S YELLEN: IMPOSING SANCTIONS ON RUSSIAN BUSINESSMA","Thomson Reuters",113282779
STK567,25/03/2022 12:14:31,LB,"tag:reuters.com,2022:newsml_L2N2VS0RC","UPDATE 1-Lebanon banks to sell dollars at approved rate starting March 28 -central bank","tag:reuters.com,2022:newsml_L2N2VS0RC:297444320",en,T,3,"LEBANON-CRISIS/FOREX (UPDATE 1)","Thomson Reuters",297444320
STK567,25/03/2022 12:14:09,RU|US|UA|PL,"tag:reuters.com,2022:newsml_L5N2VS2X6","UPDATE 1-UN rights office says evidence growing of Mariupol mass graves","tag:reuters.com,2022:newsml_L5N2VS2X6:471853730",en,T,3,"UKRAINE-CRISIS/UN-RIGHTS (UPDATE 1, TV)","Thomson Reuters",471853730
STK567,25/03/2022 12:10:17,RU|UA,"tag:reuters.com,2022:newsml_C6N2VI00R","Ukraine says Chernobyl workers' town is isolated by Russian forces","tag:reuters.com,2022:newsml_C6N2VI00R:1976180308",en,T,2,"UKRAINE-CRISIS/SLAVUTYCH-FIGHTING (URGENT)","Thomson Reuters",1976180308
STK567,25/03/2022 12:08:50,RU|AU|JP|BY|US|UA|PL,"tag:reuters.com,2022:newsml_L2N2VS08N","TOP WRAP 6-Ukrainian forces advance east of Kyiv as Russians fall back","tag:reuters.com,2022:newsml_L2N2VS08N:179715623",en,T,3,"UKRAINE-CRISIS/ (TOP WRAP 6, PIX, TV, GRAPHIC)","Thomson Reuters",179715623
STK567,25/03/2022 12:05:58,RU|UA,"tag:reuters.com,2022:newsml_MT1ALTL5N2VS3J21","UKRAINIAN PRESIDENTIAL ADVISER SAYS FIRST RUSSIAN ATTACK ON SLAVUTYCH, WHERE CHERNOBYL NUCLEAR POWER PLANT WORKERS LIVE, WAS REPULSED","tag:reuters.com,2022:newsml_MT1ALTL5N2VS3J21:1620789146",en,T,1,"UKRAINIAN PRESIDENTIAL ADVISER SAYS FIRST RUSSIAN ATTACK ON SLAV","Thomson Reuters",1620789146
STK567,25/03/2022 12:05:12,RU|JP|CN|FR,"tag:reuters.com,2022:newsml_L4N2V515S","FACTBOX-China's energy investment in Russia","tag:reuters.com,2022:newsml_L4N2V515S:47405048",en,T,3,"CHINA-RUSSIA/INVESTMENT-ENERGY (FACTBOX)","Thomson Reuters",47405048
STK567,25/03/2022 12:04:35,RU|CN,"tag:reuters.com,2022:newsml_L5N2VQ3EU","EXCLUSIVE-China's Sinopec pauses Russia projects, Beijing wary of sanctions -sources","tag:reuters.com,2022:newsml_L5N2VQ3EU:699832609",en,T,3,"UKRAINE-CRISIS/CHINA-RUSSIA (EXCLUSIVE, PIX)","Thomson Reuters",699832609
STK567,25/03/2022 12:04:17,RU|CN,"tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU5","EXCLUSIVE-SIBUR SAYS WORKING WITH SINOPEC ON AMUR'S PROJECT FINANCING","tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU5:1739166941",en,T,1,"EXCLUSIVE-SIBUR SAYS WORKING WITH SINOPEC ON AMUR'S PROJECT FINA","Thomson Reuters",1739166941
STK567,25/03/2022 12:04:16,RU|CN,"tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU4","EXCLUSIVE-SINOPEC-SIBUR'S AMUR GAS CHEMICAL VENTURE HITS FUNDING SNAGS DUE TO SANCTIONS-SOURCES","tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU4:1821014992",en,T,1,"EXCLUSIVE-SINOPEC-SIBUR'S AMUR GAS CHEMICAL VENTURE HITS FUNDING","Thomson Reuters",1821014992
STK567,25/03/2022 12:04:16,RU|CN,"tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU3","EXCLUSIVE-CHINESE GOVERNMENT TELLS STATE ENERGY FIRMS NOT TO MAKE RASH MOVES BUYING RUSSIAN ASSETS-SOURCE","tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU3:2106314872",en,T,1,"EXCLUSIVE-CHINESE GOVERNMENT TELLS STATE ENERGY FIRMS NOT TO MAK","Thomson Reuters",2106314872
STK567,25/03/2022 12:04:14,RU|CN,"tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU2","EXCLUSIVE-SINOPEC HALTS DISCUSSIONS WITH RUSSIA'S NOVATEK OVER JOINT VENTURE TO MARKET NATURAL GAS TO CHINA-SOURCE","tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU2:1447859200",en,T,1,"EXCLUSIVE-SINOPEC HALTS DISCUSSIONS WITH RUSSIA'S NOVATEK OVER J","Thomson Reuters",1447859200
STK567,25/03/2022 12:04:13,RU|CN,"tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU1","EXCLUSIVE-CHINA'S SINOPEC <0386.HK> SUSPENDS TALKS FOR A MAJOR GAS CHEMICAL PROJECT IN RUSSIA IN PARTNERSHIP WITH SIBUR -SOURCE","tag:reuters.com,2022:newsml_MT1ALTL5N2VQ3EU1:1204605643",en,T,1,"EXCLUSIVE-CHINA'S SINOPEC SUSPENDS TALKS FOR A MAJOR GAS CHEMICA","Thomson Reuters",1204605643
STK567,25/03/2022 12:02:47,GB,"tag:reuters.com,2022:newsml_L5N2VS2EU","England's COVID-19 prevalence rises – ONS","tag:reuters.com,2022:newsml_L5N2VS2EU:1319775188",en,T,2,"HEALTH-CORONAVIRUS/BRITAIN-INFECTION (URGENT)","Thomson Reuters",1319775188
STK567,25/03/2022 12:01:56,CH|IT|GB|JP|CN|FR|DE|US|ES,"tag:reuters.com,2022:newsml_L3N2VS2M1","GLOBAL MARKETS-World stocks poised for consecutive weekly gains for first time in 2022","tag:reuters.com,2022:newsml_L3N2VS2M1:524796851",en,T,3,"GLOBAL-MARKETS/ (WRAPUP 3, PIX)","Thomson Reuters",524796851
STK567,25/03/2022 12:01:19,RU|GB|CN|FR|US|UA,"tag:reuters.com,2022:newsml_S8N2QT06H","UK PM Johnson held call with Chinese president about Ukraine - spokesman","tag:reuters.com,2022:newsml_S8N2QT06H:1955991415",en,T,2,"UKRAINE-CRISIS/BRITAIN-CHINA (URGENT)","Thomson Reuters",1955991415
STK567,25/03/2022 12:01:14,GB,"tag:reuters.com,2022:newsml_MT1ALTS8N2UL0FF2","COVID: UK'S ONS SAYS AN ESTIMATED 1 IN 16 PEOPLE IN ENGLAND HAD COVID-19 IN THE LATEST WEEK (PREVIOUS WEEK: 1 IN 20)","tag:reuters.com,2022:newsml_MT1ALTS8N2UL0FF2:1255540046",en,T,1,"COVID: UK'S ONS SAYS AN ESTIMATED 1 IN 16 PEOPLE IN ENGLAND HAD","Thomson Reuters",1255540046
STK567,25/03/2022 12:00:47,GB|IE,"tag:reuters.com,2022:newsml_L2N2VS0NJ","UPDATE 2-Irish foreign minister taken off stage in Belfast after security alert","tag:reuters.com,2022:newsml_L2N2VS0NJ:1126721903",en,T,3,"NIRELAND-VIOLENCE/ (UPDATE 2, PIX)","Thomson Reuters",1126721903
STK567,25/03/2022 11:59:18,RU|UA,"tag:reuters.com,2022:newsml_L5N2VS36Z","FACTBOX-U.S, EU strike LNG deal to help wean Europe off Russian gas","tag:reuters.com,2022:newsml_L5N2VS36Z:1772452107",en,T,3,"UKRAINE-CRISIS/EU-ENERGY (FACTBOX)","Thomson Reuters",1772452107
STK567,25/03/2022 11:58:13,IR|LB,"tag:reuters.com,2022:newsml_S8N2UQ0EH","Iran ready to supply wheat to Lebanon - Lebanese President on Twitter citing Iranian FM","tag:reuters.com,2022:newsml_S8N2UQ0EH:1877827953",en,T,2,"LEBANON-COMMODITIES/IRAN-WHEAT (URGENT)","Thomson Reuters",1877827953
STK567,25/03/2022 11:55:03,RU|UA,"tag:reuters.com,2022:newsml_MT1ALTC6N2VI00R2","KYIV REGION ADMINISTRATION SAYS SLAVUTYCH TOWN NEAR CHERNOBYL IS "COMPLETELY ISOLATED" WITH RUSSIAN TROOPS 1.5 KM FROM TOWN","tag:reuters.com,2022:newsml_MT1ALTC6N2VI00R2:206650897",en,T,1,"KYIV REGION ADMINISTRATION SAYS SLAVUTYCH TOWN NEAR CHERNOBYL IS","Thomson Reuters",206650897
STK567,25/03/2022 11:53:52,RU|GB|CN|FR|US|UA,"tag:reuters.com,2022:newsml_MT1ALTS8N2QT06H2","UK PM JOHNSON'S SPOKESMAN SAYS PM SPOKE TO CHINESE PRESIDENT ON FRIDAY ABOUT THE SITUATION IN UKRAINE","tag:reuters.com,2022:newsml_MT1ALTS8N2QT06H2:651577785",en,T,1,"UK PM JOHNSON'S SPOKESMAN SAYS PM SPOKE TO CHINESE PRESIDENT ON","Thomson Reuters",651577785
STK567,25/03/2022 11:52:26,ES,"tag:reuters.com,2022:newsml_L2N2VS0FK","UPDATE 2-Spanish truckers protest in Madrid after rejecting new government aid package","tag:reuters.com,2022:newsml_L2N2VS0FK:293038864",en,T,3,"SPAIN-ENERGY/PROTESTS (UPDATE 2, PIX, TV)","Thomson Reuters",293038864
STK567,25/03/2022 11:51:55,CN|US,"tag:reuters.com,2022:newsml_L2N2VS0R4","U.S. FAA chief confident of finding 'root cause' of China 737-800 crash","tag:reuters.com,2022:newsml_L2N2VS0R4:1766591679",en,T,2,"CHINA-CRASH/FAA (URGENT)","Thomson Reuters",1766591679
STK567,25/03/2022 11:51:43,KR|KP|US,"tag:reuters.com,2022:newsml_L2N2VR2VM","WRAPUP 6-North Korea says new ICBM will curb 'dangerous' moves by U.S. military","tag:reuters.com,2022:newsml_L2N2VR2VM:29547904",en,T,3,"NORTHKOREA-MISSILES/ (WRAPUP 6, PIX, TV)","Thomson Reuters",29547904
STK567,25/03/2022 11:49:27,RU|GB|UA,"tag:reuters.com,2022:newsml_L5N2VS353","UPDATE 1-UK says gold transactions are included in Russia central bank sanctions","tag:reuters.com,2022:newsml_L5N2VS353:162270622",en,T,3,"UKRAINE-CRISIS/BRITAIN-GOLD (UPDATE 1)","Thomson Reuters",162270622
STK567,25/03/2022 11:49:11,CN,"tag:reuters.com,2022:newsml_L2N2VS0MN","UPDATE 1-China to maintain yuan flexibility, brace for external shocks","tag:reuters.com,2022:newsml_L2N2VS0MN:178322509",en,T,3,"CHINA-FOREX/YUAN (UPDATE 1)","Thomson Reuters",178322509
STK567,25/03/2022 11:48:42,NP|PK|AF|CN|UA|IN,"tag:reuters.com,2022:newsml_L2N2VS06Y","UPDATE 5-Chinese minister seeks normal India ties, Delhi says ease border tension first","tag:reuters.com,2022:newsml_L2N2VS06Y:297582572",en,T,3,"INDIA-CHINA/ (UPDATE 5, TV, PIX)","Thomson Reuters",297582572
STK567,25/03/2022 11:48:17,AU,"tag:reuters.com,2022:newsml_L5N2VS374","Australian rules-Buddy Franklin's 1,000th AFL goal prompts Sydney pitch invasion","tag:reuters.com,2022:newsml_L5N2VS374:1211096075",en,T,3,"AUSTRALIAN-RULES/FRANKLIN","Thomson Reuters",1211096075
STK567,25/03/2022 11:47:58,IL|MA,"tag:reuters.com,2022:newsml_S8N2VC01V","Israel, Morocco sign MoU on military cooperation - army spokesperson on Twitter","tag:reuters.com,2022:newsml_S8N2VC01V:930310636",en,T,2,"MOROCCO-ISRAEL/SECURITY (URGENT)","Thomson Reuters",930310636
STK567,25/03/2022 11:47:30,IR|LB,"tag:reuters.com,2022:newsml_MT1ALTS8N2UQ0EH2","IRAN READY TO SUPPLY WHEAT TO LEBANON, LEBANESE PRESIDENCY SAYS ON TWITTER, CITING VISITING IRANIAN FOREIGN MINISTER","tag:reuters.com,2022:newsml_MT1ALTS8N2UQ0EH2:1240998355",en,T,1,"IRAN READY TO SUPPLY WHEAT TO LEBANON, LEBANESE PRESIDENCY SAYS","Thomson Reuters",1240998355
STK567,25/03/2022 11:46:52,RU|UA,"tag:reuters.com,2022:newsml_C6N2VI00Q","Ukraine hopes to agree humanitarian corridor for Chernihiv, says deputy PM","tag:reuters.com,2022:newsml_C6N2VI00Q:1074104089",en,T,2,"UKRAINE-CRISIS/CHERNIHIV-CORRIDOR (URGENT)","Thomson Reuters",1074104089
STK567,25/03/2022 11:46:43,BH|IL|MA|AE,"tag:reuters.com,2022:newsml_L2N2VS0OQ","UPDATE 1-Israel to host 'historic' regional summit next week, foreign minister says","tag:reuters.com,2022:newsml_L2N2VS0OQ:831949247",en,T,3,"MIDEAST-SUMMIT/ISRAEL (UPDATE 1)","Thomson Reuters",831949247
STK567,25/03/2022 11:45:27,CN|US,"tag:reuters.com,2022:newsml_MT1ALTL2N2VS0R41","FAA ADMINISTRATOR DICKSON SAYS HE IS CONFIDENT "ROOT CAUSE" WILL BE DETERMINED OF CRASH OF BOEING 737-800 IN CHINA -- CNBC INTERVIEW","tag:reuters.com,2022:newsml_MT1ALTL2N2VS0R41:1346087166",en,T,1,"FAA ADMINISTRATOR DICKSON SAYS HE IS CONFIDENT "ROOT CAUSE" WILL","Thomson Reuters",1346087166
STK567,25/03/2022 11:44:59,,"tag:reuters.com,2022:newsml_L2N2VS0LG","UPDATE 1-Euro zone bond yields dip as market takes stock of sell-off","tag:reuters.com,2022:newsml_L2N2VS0LG:1879587873",en,T,3,"EUROZONE-BONDS/ (UPDATE 1)","Thomson Reuters",1879587873
STK567,25/03/2022 11:44:30,GB|IE,"tag:reuters.com,2022:newsml_S8N2V705X","Irish foreign minister 'saddened and frustrated' by attempted attack","tag:reuters.com,2022:newsml_S8N2V705X:1496684209",en,T,2,"NIRELAND-VIOLENCE/COVENEY (URGENT)","Thomson Reuters",1496684209
STK567,25/03/2022 11:41:46,RU|UA,"tag:reuters.com,2022:newsml_L2N2VS0OT","Mariupol cites witnesses suggesting 300 may have been killed in theatre bombing","tag:reuters.com,2022:newsml_L2N2VS0OT:409801379",en,T,3,"UKRAINE CRISIS/MARIUPOL-THEATRE (PIX)","Thomson Reuters",409801379
STK567,25/03/2022 11:41:08,CN,"tag:reuters.com,2022:newsml_L2N2VS0BC","UPDATE 3-Hong Kong leader rejects barrister nominee to sensitive judges panel, appoints another","tag:reuters.com,2022:newsml_L2N2VS0BC:959219478",en,T,3,"HONGKONG-SECURITY/LEGAL (UPDATE 3, PIX)","Thomson Reuters",959219478
STK567,25/03/2022 11:40:11,SA|BH|AT|GB|NL|US|MX,"tag:reuters.com,2022:newsml_L6N2VS06X","Motor racing-Fuel system vacuum behind Red Bull's Bahrain double retirement - spokesperson","tag:reuters.com,2022:newsml_L6N2VS06X:14320252",en,T,3,"MOTOR-F1-SAUDI/ (PIX)","Thomson Reuters",14320252
STK567,25/03/2022 11:39:46,LB,"tag:reuters.com,2022:newsml_S8N2UQ0G2","Lebanon banks to sell dollars at approved rate starting March 28 - central bank","tag:reuters.com,2022:newsml_S8N2UQ0G2:1861587746",en,T,2,"LEBANON-CRISIS/FOREX (URGENT)","Thomson Reuters",1861587746
STK567,25/03/2022 11:36:53,US,"tag:reuters.com,2022:newsml_L2N2VS0O7","UPDATE 1-EU, U.S. reach provisional deal on data flows but final pact months away","tag:reuters.com,2022:newsml_L2N2VS0O7:2026668797",en,T,3,"EU-USA/PRIVACY (UPDATE 1, PIX)","Thomson Reuters",2026668797
STK567,25/03/2022 11:36:49,IL|MA,"tag:reuters.com,2022:newsml_MT1ALTS8N2VC01V2","ISRAEL, MOROCCO SIGN MOU ON MILITARY COOPERATION - ISRAELI MILITARY ARABIC SPOKESPERSON ON TWITTER","tag:reuters.com,2022:newsml_MT1ALTS8N2VC01V2:1453460824",en,T,1,"ISRAEL, MOROCCO SIGN MOU ON MILITARY COOPERATION - ISRAELI MILIT","Thomson Reuters",1453460824
STK567,25/03/2022 11:36:14,RU,"tag:reuters.com,2022:newsml_L2N2VS0D6","UPDATE 2-Russian stocks slide on second day of trade, led lower by Aeroflot","tag:reuters.com,2022:newsml_L2N2VS0D6:166004573",en,T,3,"RUSSIA-MARKETS/ (UPDATE 2)","Thomson Reuters",166004573
STK567,25/03/2022 11:35:44,AU|PK,"tag:reuters.com,2022:newsml_L2N2VS0DE","UPDATE 2-Cricket-Lyon takes five to spin Australia to series-clinching win","tag:reuters.com,2022:newsml_L2N2VS0DE:513413031",en,T,3,"CRICKET-TEST-PAK-AUS/ (UPDATE 2)","Thomson Reuters",513413031
STK567,25/03/2022 11:35:08,,"tag:reuters.com,2022:newsml_MTZXEI3PATIKN0","Papua New Guinea in Nepal 2022 Scoreboard","tag:reuters.com,2022:newsml_MTZXEI3PATIKN0:1",en,T,4,"CRICKET-ODI/SCOREBOARD","Opta Sports Data",1
STK567,25/03/2022 11:35:06,GB|FR|DE|IE,"tag:reuters.com,2022:newsml_MT1ALTS8N2V705X2","IRISH FOREIGN MINISTER COVENEY SAYS 'SADDENED  & FRUSTRATED' BY ATTACK IN BELFAST","tag:reuters.com,2022:newsml_MT1ALTS8N2V705X2:1466850136",en,T,1,"IRISH FOREIGN MINISTER COVENEY SAYS 'SADDENED  & FRUSTRATED' BY","Thomson Reuters",1466850136
STK567,25/03/2022 11:33:35,GB|US,"tag:reuters.com,2022:newsml_MT1ALTFWN2VR1OX2","EMA: INCREASE IN MANUFACTURING CAPACITY FOR COVID-19 VACCINE COMIRNATY WAS APPROVED BY CHMP - MEETING HIGHLIGHTS","tag:reuters.com,2022:newsml_MT1ALTFWN2VR1OX2:1223158984",en,T,1,"EMA: INCREASE IN MANUFACTURING CAPACITY FOR COVID-19 VACCINE COM","Thomson Reuters",1223158984
STK567,25/03/2022 11:31:18,GB,"tag:reuters.com,2022:newsml_MT1ALTFWN2VS0P14","EMA: RECOMMENDED AUTHORISATION IN EU FOR CARVYKTI FOR TREATMENT OF ADULT PATIENTS WITH RELAPSED AND REFRACTORY MULTIPLE MYELOMA","tag:reuters.com,2022:newsml_MT1ALTFWN2VS0P14:851237514",en,T,1,"EMA: RECOMMENDED AUTHORISATION IN EU FOR CARVYKTI FOR TREATMENT","Thomson Reuters",851237514
STK567,25/03/2022 11:31:15,RU|UA,"tag:reuters.com,2022:newsml_MT1ALTC6N2VI00Q2","UKRAINE DEPUTY PRIME MINISTER SAYS UKRAINE WANTS HUMANITARIAN CORRIDOR FOR CHERNIHIV CITY ON SATURDAY","tag:reuters.com,2022:newsml_MT1ALTC6N2VI00Q2:349130031",en,T,1,"UKRAINE DEPUTY PRIME MINISTER SAYS UKRAINE WANTS HUMANITARIAN CO","Thomson Reuters",349130031
STK567,25/03/2022 11:30:40,GB,"tag:reuters.com,2022:newsml_MT1ALTFWN2VS0P12","EMA: NEW GENE THERAPY TO TREAT ADULT PATIENTS WITH MULTIPLE MYELOMA: 25/03/2022","tag:reuters.com,2022:newsml_MT1ALTFWN2VS0P12:1400788357",en,T,1,"EMA: NEW GENE THERAPY TO TREAT ADULT PATIENTS WITH MULTIPLE MYEL","Thomson Reuters",1400788357
